l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.706101  12.252110  5.9739  0.4036 -3.2990  0.0263 -0.8265  0.0381  0.0290 -112.8019    0.2657  1.0000 -99.0000 -0.2862  0.2743 -99.0000  0.0000 2M14582475-4502085  
-34.604384  12.234481  5.5068  0.4004 -3.6303  0.0213 -4.1055  0.0290 -0.0957  -54.6514    0.3252  1.0000 -99.0000 -0.4463  0.3399 -99.0000  1.0000 2M14585723-4500124  
-34.740595  11.919943  7.7320  0.8317 -7.5437  0.0316  0.1164  0.0499  0.0306  -49.4889    0.1581  1.0000 -99.0000 -0.0844  0.2364 -99.0000  2.0000 2M14590898-4520357  
-34.592598  12.176456  6.2148  0.6645 -5.7135  0.0157  0.5158  0.0204 -0.1211  -16.4067    0.2704  1.0000 -99.0000 -0.3509  0.3008 -99.0000  3.0000 2M14591014-4502555  
-34.466323  12.389129  5.4403  0.2997 -9.0738  0.0261  2.0640  0.0290 -0.2385  -85.4927    0.2688  1.0000 -99.0000 -0.0638  0.0789 -99.0000  4.0000 2M14591206-4448106  
-34.443874  12.341751  6.1713  0.4775 -5.9130  0.0295  1.8106  0.0348 -0.2006  -35.0547    0.4055  1.0000 -99.0000 -0.3371  0.3476 -99.0000  5.0000 2M14592629-4450019  
-34.537806  12.153427  6.7747  0.7134 -6.4392  0.0162  0.7472  0.0203 -0.0656   28.3713    0.2167  1.0000 -99.0000 -0.4486  0.3130 -99.0000  6.0000 2M14592986-4502352  
-34.350921  12.408584  6.7945  0.4228 -6.1416  0.0357  2.5716  0.0355 -0.2912    9.3790    0.2691  1.0000 -99.0000 -0.3379  0.2515 -99.0000  7.0000 2M14594225-4443533  
-34.321111  12.452115  5.4240  0.3398 -3.5725  0.0240 -3.2874  0.0271 -0.2668 -109.2663    0.3335  1.0000 -99.0000 -0.3144  0.2912 -99.0000  8.0000 2M14594374-4440455  
-34.382566  12.236895  5.6966  0.4422 -8.6777  0.0262  1.1900  0.0317 -0.2286  -14.6274    0.3155  1.0000 -99.0000 -0.5356  0.3014 -99.0000  9.0000 2M15000122-4453480  
-34.367366  12.185108  7.7802  0.7115 -4.2376  0.0209 -0.4150  0.0260 -0.1550   -9.3465    0.2152  1.0000 -99.0000 -0.3486  0.2946 -99.0000 11.0000 2M15001413-4456051  
-34.173719  12.521792  5.7027  0.3762 -5.6572  0.0252 -1.4306  0.0246 -0.1907    4.0243    0.2280  1.0000 -99.0000 -0.5017  0.2907 -99.0000 12.0000 2M15001478-4432549  
-34.260831  12.364138  5.7446  0.5372 -5.8836  0.0236  0.7895  0.0222 -0.2813  -39.8954    0.6561  1.0000 -99.0000 -0.2445  0.3096 -99.0000 13.0000 2M15001552-4443397  
-34.108787  12.620905  5.5480  0.4193 -8.1596  0.0250  2.6124  0.0257 -0.1033   44.2895    0.2888  1.0000 -99.0000 -0.2561  0.3106 -99.0000 14.0000 2M15001721-4425522  
-34.524705  11.857531  5.8266  0.4692 -3.9020  0.0301  0.8382  0.0343 -0.1525  -25.0558    0.3973  1.0000 -99.0000 -0.3812  0.3202 -99.0000 15.0000 2M15002241-4517451  
-34.386766  12.015004  7.4130  0.7090 -4.5030  0.0242 -0.9895  0.0257 -0.2495  -63.5963    0.3236  1.0000 -99.0000 -0.2798  0.2992 -99.0000 16.0000 2M15003655-4505336  
-34.420734  11.816907  5.9666  0.6700 -5.6359  0.0164 -1.3581  0.0165 -0.2063  -42.8215    0.4072  1.0000 -99.0000 -0.3776  0.2922 -99.0000 17.0000 2M15005948-4516549  
-34.618925  11.421798  7.1880  1.3646 -5.8189  0.0159  2.6042  0.0185 -0.0761   40.2422    0.3765  1.0000 -99.0000 -0.5125  0.3280 -99.0000 18.0000 2M15010730-4543175  
-34.377624  11.828586  7.3162  0.8735 -8.3410  0.0269 -1.0740  0.0284 -0.3189  -54.8282    0.5094  1.0000 -99.0000 -0.4747  0.3940 -99.0000 19.0000 2M15011011-4515041  
-34.382569  11.803079  5.6923  0.4143 -9.8821  0.0269  1.0489  0.0297 -0.2578   64.9109    0.3875  1.0000 -99.0000 -0.5185  0.3756 -99.0000 20.0000 2M15011291-4516328  
-34.353367  11.848466  7.6427  0.9841 -6.8788  0.0179  1.0463  0.0210 -0.3013 -145.6315    0.2765  1.0000 -99.0000 -0.5139  0.3382 -99.0000 21.0000 2M15011387-4513199  
-33.855418  12.703880  7.5943  0.9652 -6.8515  0.0210 -2.5000  0.0189 -0.1487   15.4430    0.2662  1.0000 -99.0000 -0.5109  0.3244 -99.0000 22.0000 2M15011603-4414172  
-34.484881  11.596431  7.8139  1.0266 -4.5058  0.0337  0.2686  0.0336 -0.1759 -124.0337    0.4278  1.0000 -99.0000  0.0049  0.1357 -99.0000 23.0000 2M15011746-4530181  
-33.875539  12.659222  6.4304  0.7614 -9.0144  0.0177 -2.4174  0.0172 -0.0970  -18.5005    0.2415  1.0000 -99.0000 -0.4733  0.3349 -99.0000 24.0000 2M15011762-4417120  
-34.008516  12.357061  5.5591  0.3704 -3.4198  0.0282 -0.6158  0.0293 -0.2292    8.4604    0.4268  1.0000 -99.0000 -0.3581  0.2412 -99.0000 25.0000 2M15012931-4436493  
-33.973001  12.381740  5.3106  0.4212 -3.1837  0.0284 -1.6519  0.0252 -0.1657  -82.2528    0.6991  1.0000 -99.0000 -0.2163  0.2935 -99.0000 26.0000 2M15013542-4434307  
