l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.443907  12.341778  6.1031  0.2457 -5.9130  0.0295  1.8106  0.0348 -0.2006  -35.0547    0.4055  1.0000 -99.0000 -0.3371  0.3476 -99.0000  1.0000 2M14592629-4450019  
-34.367395  12.185109  7.7747  0.3228 -4.2376  0.0209 -0.4150  0.0260 -0.1550   -9.3465    0.2152  1.0000 -99.0000 -0.3486  0.2946 -99.0000  4.0000 2M15001413-4456051  
-34.173736  12.521787  5.7013  0.0761 -5.6572  0.0252 -1.4306  0.0246 -0.1907    4.0243    0.2280  1.0000 -99.0000 -0.5017  0.2907 -99.0000  5.0000 2M15001478-4432549  
-34.260854  12.364146  5.7574  0.2436 -5.8836  0.0236  0.7895  0.0222 -0.2813  -39.8954    0.6561  1.0000 -99.0000 -0.2445  0.3096 -99.0000  6.0000 2M15001552-4443397  
-34.524731  11.857516  5.8160  0.2525 -3.9020  0.0301  0.8382  0.0343 -0.1525  -25.0558    0.3973  1.0000 -99.0000 -0.3812  0.3202 -99.0000  7.0000 2M15002241-4517451  
-34.353394  11.848491  7.3627  0.4231 -6.8788  0.0179  1.0463  0.0210 -0.3013 -145.6315    0.2765  1.0000 -99.0000 -0.5139  0.3382 -99.0000  9.0000 2M15011387-4513199  
-33.855454  12.703859  7.3537  0.4209 -6.8515  0.0210 -2.5000  0.0189 -0.1487   15.4430    0.2662  1.0000 -99.0000 -0.5109  0.3244 -99.0000 10.0000 2M15011603-4414172  
-34.484883  11.596428  7.7866  0.4137 -4.5058  0.0337  0.2686  0.0336 -0.1759 -124.0337    0.4278  1.0000 -99.0000  0.0049  0.1357 -99.0000 11.0000 2M15011746-4530181  
-33.875601  12.659197  6.4308  0.2522 -9.0144  0.0177 -2.4174  0.0172 -0.0970  -18.5005    0.2415  1.0000 -99.0000 -0.4733  0.3349 -99.0000 12.0000 2M15011762-4417120  
-34.433864  11.627706  8.2362  0.3043 -8.8126  0.0282 -0.0250  0.0272 -0.1613    5.7221    0.3204  1.0000 -99.0000 -0.5307  0.2724 -99.0000 14.0000 2M15012717-4527119  
-34.041736  12.289299  8.8238  0.7427 -5.5061  0.0193  0.4005  0.0186 -0.2456   97.4615    0.3288  1.0000 -99.0000 -0.5722  0.3114 -99.0000 15.0000 2M15013096-4441192  
-34.443961  11.559472  7.4972  0.3687 -6.9702  0.0191 -0.5909  0.0189 -0.2034   -0.5852    1.3329  1.0000 -99.0000 -0.4779  0.3189 -99.0000 16.0000 2M15013563-4531038  
-34.241349  11.840152  7.7367  0.3581 -8.4746  0.0270  0.6517  0.0285 -0.2743  -49.7778    0.4994  1.0000 -99.0000 -0.2017  0.2654 -99.0000 17.0000 2M15014784-4510331  
-34.500595  11.325569  6.1026  0.2645 -6.4575  0.0202  0.0853  0.0206 -0.1613  -86.2668    0.0872  1.0000 -99.0000 -0.2841  0.2353 -99.0000 21.0000 2M15015827-4544559  
-34.482372  11.327156  8.0604  0.3808 -6.4293  0.0224  2.8232  0.0219 -0.2739  -76.3739    0.3094  1.0000 -99.0000 -0.5075  0.3417 -99.0000 22.0000 2M15020336-4544195  
-33.816232  12.332394  6.2273  0.2620 -1.2666  0.0321 -0.6630  0.0340 -0.2078   -2.5387    4.1837  1.0000 -99.0000 -0.6866  0.3927 -99.0000 24.0000 2M15022852-4432344  
-34.149800  11.720695  6.0072  0.2014 -3.1075  0.0197 -0.2033  0.0209 -0.2056 -108.8918    0.3040  1.0000 -99.0000 -0.3216  0.2895 -99.0000 25.0000 2M15023440-4514094  
-33.872173  12.200256  5.7066  0.2150 -5.0916  0.0286  3.0011  0.0322 -0.0010  -56.6140    0.3351  1.0000 -99.0000 -0.4503  0.3523 -99.0000 26.0000 2M15023446-4441053  
-33.843427  12.239475  7.0978  0.3818 -6.4576  0.0159  0.1844  0.0183 -0.0202  -73.2095    0.2172  1.0000 -99.0000 -0.5030  0.3097 -99.0000 27.0000 2M15023618-4438125  
-34.111361  11.667244  6.1026  0.1824 -9.9241  0.0290 -1.0883  0.0264 -0.1633  -21.0746    0.4576  1.0000 -99.0000 -0.4484  0.2314 -99.0000 29.0000 2M15025455-4515500  
-33.598292  12.480011  8.7239  0.4978 -5.0867  0.0195 -1.5404  0.0287 -0.2002  -56.5705    0.2512  1.0000 -99.0000 -0.7165  0.3640 -99.0000 30.0000 2M15030620-4418337  
-33.669178  12.313719  6.5226  0.2021 -5.6788  0.0346  0.2233  0.0450  0.0945  -76.2953    0.8883  1.0000 -99.0000 -0.6026  0.2828 -99.0000 31.0000 2M15031367-4429172  
-34.119427  11.477346  6.5885  0.2212 -8.9304  0.0247  3.3666  0.0209 -0.0995  -74.4055    0.4235  1.0000 -99.0000 -0.3541  0.3160 -99.0000 33.0000 2M15032424-4525585  
-34.154381  11.401056  8.7847  0.4329 -6.1886  0.0222 -1.4844  0.0232 -0.2542 -115.8503    0.2856  1.0000 -99.0000 -0.2253  0.2812 -99.0000 35.0000 2M15032695-4530582  
-33.640103  12.202618  6.4262  0.1868 -7.2437  0.0258 -0.5166  0.0412  0.0083   -3.5719    0.3107  1.0000 -99.0000 -0.6803  0.3123 -99.0000 36.0000 2M15034053-4434137  
-34.003534  11.550872  6.3566  0.2633 -8.7016  0.0366 -0.9473  0.0298 -0.1197  -44.0801    0.2549  1.0000 -99.0000 -0.3230  0.2900 -99.0000 38.0000 2M15034551-4518461  
-34.147179  11.292315  6.3332  0.3120 -5.4025  0.0187 -1.0417  0.0203 -0.2676    2.0525    0.2885  1.0000 -99.0000 -0.2332  0.3097 -99.0000 39.0000 2M15034751-4536258  
-33.857470  11.776580  8.2733  0.3366 -6.0953  0.0340  0.3058  0.0372 -0.1249  -11.1038    0.3037  1.0000 -99.0000 -0.4320  0.2670 -99.0000 40.0000 2M15034966-4502452  
-34.010965  11.461363  6.0968  0.0931 -6.4941  0.0308  0.9539  0.0289 -0.2029 -110.0949    0.2543  1.0000 -99.0000  0.0065  0.0451 -99.0000 41.0000 2M15035850-4523389  
-33.750829  11.889757  7.9683  0.4191 -7.4982  0.0202 -1.3583  0.0220 -0.1465   10.1070    0.3582  1.0000 -99.0000 -0.5417  0.3483 -99.0000 42.0000 2M15040132-4453448  
-33.915786  11.562900  6.7391  0.2473 -4.3175  0.0246  0.8601  0.0274 -0.0874  -65.0726    0.2423  1.0000 -99.0000 -0.4579  0.2703 -99.0000 43.0000 2M15040892-4515348  
-34.085011  11.175629  6.4142  0.2794 -2.8563  0.0214  1.7637  0.0207 -0.1209  -97.7857    0.1745  1.0000 -99.0000  0.0795  0.0963 -99.0000 44.0000 2M15042556-4540415  
-34.091674  11.159765  5.8888  0.0862 -2.9604  0.0379 -1.7777  0.0287 -0.1954  -74.7008    0.3400  1.0000 -99.0000 -0.3178  0.2491 -99.0000 45.0000 2M15042633-4541427  
-34.026515  11.266003  6.1129  0.2996 -8.0767  0.0243  0.7922  0.0249 -0.2258   30.7790    0.1346  1.0000 -99.0000 -0.0599  0.0638 -99.0000 46.0000 2M15042722-4534165  
-34.055964  11.190128  6.4398  0.1308 -6.8406  0.0317  0.0235  0.0303 -0.1289 -143.3818    0.3125  1.0000 -99.0000 -0.2147  0.2474 -99.0000 47.0000 2M15043158-4539053  
-33.917323  11.351025  6.9572  0.3241 -5.5510  0.0187  1.5606  0.0219 -0.0954  -87.5543    0.2446  1.0000 -99.0000 -0.3356  0.3128 -99.0000 49.0000 2M15044450-4526391  
