l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.706101  12.252110  5.9636  0.2262 -3.2990  0.0263 -0.8265  0.0381   0.0381 -112.8019    0.0691  1.0000 -99.0000 -0.2862  0.2743  7.7065  0.0000 2M14582475-4502085  
-34.740595  11.919943  7.6143  0.4440 -7.5437  0.0316  0.1164  0.0499   0.0499  -49.4889    0.0241  1.0000 -99.0000 -0.0844  0.2364  7.8302  2.0000 2M14590898-4520357  
-34.466323  12.389129  5.4242  0.0786 -9.0738  0.0261  2.0640  0.0290   0.0290  -85.4927    0.0710  1.0000 -99.0000 -0.0638  0.0789  5.1025  3.0000 2M14591206-4448106  
-34.443874  12.341751  6.1031  0.2457 -5.9130  0.0295  1.8106  0.0348   0.0348  -35.0547    0.1625  1.0000 -99.0000 -0.3371  0.3476  9.8948  4.0000 2M14592629-4450019  
-34.350921  12.408584  6.7880  0.0834 -6.1416  0.0357  2.5716  0.0355   0.0355    9.3790    0.0699  1.0000 -99.0000 -0.3379  0.2515  6.2319  6.0000 2M14594225-4443533  
-34.321111  12.452115  5.4209  0.0822 -3.5725  0.0240 -3.2874  0.0271   0.0271 -109.2663    0.1089  1.0000 -99.0000 -0.3144  0.2912  7.1841  7.0000 2M14594374-4440455  
-34.367366  12.185108  7.7747  0.3228 -4.2376  0.0209 -0.4150  0.0260   0.0260   -9.3465    0.0456  1.0000 -99.0000 -0.3486  0.2946  9.3541 10.0000 2M15001413-4456051  
-34.260831  12.364138  5.7574  0.2436 -5.8836  0.0236  0.7895  0.0222   0.0222  -39.8954    0.4298  1.0000 -99.0000 -0.2445  0.3096  9.2667 12.0000 2M15001552-4443397  
-34.108787  12.620905  5.4119  0.2171 -8.1596  0.0250  2.6124  0.0257   0.0257   44.2895    0.0821  1.0000 -99.0000 -0.2561  0.3106  9.6666 13.0000 2M15001721-4425522  
-34.524705  11.857531  5.8160  0.2525 -3.9020  0.0301  0.8382  0.0343   0.0343  -25.0558    0.1558  1.0000 -99.0000 -0.3812  0.3202  9.2167 14.0000 2M15002241-4517451  
-34.386766  12.015004  7.2275  0.2955 -4.5030  0.0242 -0.9895  0.0257   0.0257  -63.5963    0.1039  1.0000 -99.0000 -0.2798  0.2992  8.7493 15.0000 2M15003655-4505336  
