comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
knot,0.0,1.0,0.71,0.34,0.90,0.1467,-0.0226,+0.0212,-38.0,-4.0,+3.4,8.9,-8.8,+5.9,-1.7,-2.0,+2.2,23.8,-11.1,+9.5,41.3,-5.1,+5.2,23.5,-4.8,+5.7,10.8,-0.6,+1.6,
bar,0.0,1.0,0.71,0.34,0.90,0.3363,-0.0332,+0.0309,32.1,-3.5,+3.8,-17.5,-6.1,+5.3,-7.4,-2.8,+2.8,53.8,-6.5,+6.4,55.5,-4.6,+4.7,36.0,-3.5,+3.9,28.6,-2.7,+2.8,
disc,0.0,1.0,0.71,0.34,0.90,0.5173,-0.0316,+0.0348,-3.1,-3.8,+3.8,2.8,-3.7,+3.8,-36.3,-2.5,+2.4,41.7,-17.1,+16.4,123.1,-4.1,+4.0,114.6,-4.1,+4.4,64.4,-2.2,+2.5,
-,1.0,2.0,1.52,1.14,1.86,0.0484,-0.009,+0.0074,-103.1,-2.8,+3.0,-1.8,-1.3,+2.3,-12.7,-3.3,+3.7,58.7,-3.3,+3.9,90.6,-8.7,+9.6,16.2,-3.5,+3.7,13.0,-2.1,+3.9,
bar,1.0,2.0,1.52,1.14,1.86,0.6674,-0.037,+0.0374,3.5,-3.5,+3.5,2.0,-3.0,+3.1,-102.8,-2.6,+2.5,68.7,-3.8,+3.9,117.6,-3.4,+3.4,90.7,-3.5,+3.6,95.4,-3.4,+3.3,
disc,1.0,2.0,1.52,1.14,1.86,0.2832,-0.0379,+0.037,-11.2,-9.4,+8.0,-13.3,-6.8,+7.1,-100.1,-2.9,+2.7,55.2,-18.8,+27.2,185.3,-7.0,+7.5,194.4,-8.3,+9.4,176.6,-7.3,+7.6,
-,2.0,3.0,2.54,2.16,2.90,0.0023,-0.0009,+0.0007,77.5,-63.2,+70.4,-293.8,-25.9,+20.1,442.3,-41.8,+38.2,62.3,-13.1,+12.9,12.1,-1.6,+4.0,39.4,-8.9,+14.5,89.1,-27.0,+37.1,
-,2.0,3.0,2.54,2.16,2.90,0.0061,-0.0037,+0.0027,146.3,-75.9,+147.3,148.6,-79.4,+109.0,-285.3,-19.1,+12.8,49.0,-32.7,+40.1,20.6,-8.1,+18.8,22.0,-9.0,+18.4,20.1,-7.9,+23.6,
disc,2.0,3.0,2.54,2.16,2.90,0.9915,-0.0028,+0.0038,-14.5,-3.4,+3.3,-5.4,-2.7,+3.0,-302.0,-3.6,+3.7,60.3,-3.1,+3.3,191.1,-2.5,+2.5,162.5,-2.0,+2.1,195.1,-2.5,+2.6,
disc,3.0,4.0,3.55,3.16,3.85,0.9387,-0.0054,+0.005,-16.9,-2.2,+2.0,-7.1,-1.7,+1.8,-554.8,-2.1,+2.1,71.0,-2.1,+1.9,208.7,-1.4,+1.5,178.4,-1.2,+1.3,209.4,-2.0,+2.2,
-,3.0,4.0,3.55,3.16,3.85,0.03,-0.0034,+0.0043,-12.0,-11.4,+9.1,5.7,-4.0,+4.1,-35.6,-17.4,+9.1,83.6,-2.3,+2.7,135.1,-11.0,+12.1,45.0,-3.7,+4.2,135.2,-10.0,+12.6,
-,3.0,4.0,3.55,3.16,3.85,0.0315,-0.0027,+0.0026,7.2,-14.4,+12.1,4.3,-15.7,+14.9,-11.3,-11.1,+16.3,36.7,-25.4,+20.7,321.9,-14.1,+18.5,329.8,-13.9,+15.3,430.0,-25.3,+26.8,
-,4.0,5.0,4.44,4.13,4.78,0.0012,-0.0011,+0.0008,-348.3,-1774.8,+1475.5,-2035.9,-896.1,+495.3,1586.6,-449.0,+478.8,8.9,-8.5,+5.5,12.9,-0.9,+1.1,29.8,-8.4,+17.4,19.3,-2.2,+3.6,
-,4.0,5.0,4.44,4.13,4.78,0.0012,-0.0008,+0.0006,367.0,-148.1,+161.2,-770.3,-95.4,+69.2,929.9,-61.9,+55.3,56.8,-11.6,+11.8,11.7,-0.6,+0.9,30.9,-7.3,+15.4,10.4,-0.2,+0.2,
disc,4.0,5.0,4.44,4.13,4.78,0.9976,-0.0009,+0.0013,-19.1,-2.8,+2.9,-3.2,-1.0,+1.0,-791.0,-4.2,+4.2,70.4,-1.7,+1.6,218.7,-1.5,+1.4,184.4,-1.1,+1.2,338.2,-1.1,+0.8,
