comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.69,0.32,0.91,0.2715,-0.032,+0.0307,2.0,-8.1,+8.4,0.4,-8.0,+8.0,-72.7,-5.7,+6.5,63.0,-21.0,+57.3,140.4,-10.2,+10.4,137.6,-9.9,+12.3,61.9,-4.1,+3.9,
bar,0.0,1.0,0.69,0.32,0.91,0.569,-0.0291,+0.0313,-0.6,-3.1,+3.1,-1.2,-2.3,+2.3,-9.9,-2.5,+2.7,47.4,-3.4,+3.3,76.9,-3.5,+3.6,50.3,-2.8,+3.0,30.4,-2.7,+2.8,
knot,0.0,1.0,0.69,0.32,0.91,0.1577,-0.0292,+0.0242,0.4,-2.0,+0.8,-0.3,-0.8,+1.6,-0.0,-0.7,+0.8,24.5,-10.2,+12.9,21.5,-4.0,+5.3,11.9,-1.4,+3.0,10.1,-0.1,+0.2,
disc,1.0,2.0,1.55,1.16,1.87,0.4839,-0.0157,+0.017,-6.4,-4.0,+4.0,9.6,-3.1,+3.2,-184.3,-2.6,+3.7,76.4,-4.1,+4.1,148.9,-2.4,+2.4,128.7,-2.0,+2.4,86.2,-2.7,+2.5,
bar,1.0,2.0,1.55,1.16,1.87,0.4641,-0.0169,+0.0141,6.2,-2.1,+2.2,2.4,-1.2,+1.3,-32.0,-2.1,+2.3,72.0,-1.4,+1.4,84.9,-1.7,+1.9,48.4,-1.4,+1.6,54.7,-1.5,+1.9,
-,1.0,2.0,1.55,1.16,1.87,0.0515,-0.0061,+0.006,7.5,-7.3,+10.3,-7.2,-10.1,+7.0,-21.2,-5.6,+5.0,58.8,-18.1,+28.9,217.0,-13.5,+16.7,235.2,-14.4,+14.6,219.8,-14.0,+13.9,
-,2.0,3.0,2.54,2.16,2.89,0.0127,-0.0025,+0.0024,31.2,-78.8,+285.2,-208.7,-122.5,+69.3,309.6,-32.0,+27.8,22.7,-61.6,+17.8,249.4,-48.1,+111.5,299.5,-92.2,+72.2,120.3,-16.5,+21.8,
disc,2.0,3.0,2.54,2.16,2.89,0.5328,-0.0379,+0.0371,-16.0,-5.4,+5.6,-4.6,-3.2,+4.2,-399.2,-9.4,+9.4,69.9,-5.1,+5.2,202.1,-4.4,+4.6,174.7,-4.1,+4.6,145.0,-4.1,+4.3,
bar,2.0,3.0,2.54,2.16,2.89,0.4546,-0.0374,+0.039,-0.8,-4.9,+5.1,3.1,-3.1,+2.7,-166.5,-9.4,+8.9,78.6,-1.9,+2.0,143.4,-4.1,+3.9,83.3,-4.4,+4.1,130.3,-4.7,+4.6,
-,3.0,4.0,3.57,3.17,3.87,0.0004,-0.0003,+0.0002,151.5,-276.7,+310.7,-579.5,-124.9,+45.7,960.4,-39.9,+40.7,44.1,-29.0,+29.0,13.8,-2.8,+8.5,13.8,-2.9,+8.2,14.0,-3.1,+9.1,
-,3.0,4.0,3.57,3.17,3.87,0.0006,-0.0004,+0.0003,-323.3,-361.9,+195.6,-393.5,-212.3,+123.3,304.1,-17.2,+17.0,36.1,-34.1,+23.8,13.6,-2.8,+9.6,13.2,-2.5,+8.1,13.4,-2.7,+7.7,
disc,3.0,4.0,3.57,3.17,3.87,0.999,-0.0004,+0.0005,-17.9,-2.9,+3.0,-2.4,-1.6,+2.1,-536.4,-3.6,+3.7,76.4,-1.9,+1.9,204.1,-2.0,+2.1,165.5,-1.8,+1.8,239.3,-2.5,+2.6,
-,4.0,5.0,4.50,4.15,4.82,0.0023,-0.0007,+0.0008,534.0,-106.6,+105.1,-133.1,-51.8,+52.0,947.0,-55.8,+65.7,79.4,-4.5,+4.4,12.1,-0.8,+0.9,28.1,-4.3,+6.5,12.6,-0.5,+0.6,
-,4.0,5.0,4.50,4.15,4.82,0.0302,-0.0018,+0.0017,19.4,-1.9,+1.8,-27.7,-2.2,+2.1,-954.6,-10.8,+13.6,76.6,-2.9,+2.7,75.5,-10.6,+13.6,11.9,-0.9,+1.2,138.9,-11.0,+12.7,
disc,4.0,5.0,4.50,4.15,4.82,0.9675,-0.002,+0.0022,-18.6,-1.9,+1.9,4.6,-0.9,+0.8,-799.5,-2.1,+2.2,82.4,-0.9,+0.9,210.5,-1.0,+1.2,179.4,-0.7,+0.7,290.6,-0.9,+0.9,
