comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.70,0.30,0.92,0.1596,-0.0258,+0.0262,1.8,-12.7,+12.4,9.3,-12.3,+12.0,-92.8,-9.5,+10.1,24.2,-54.0,+16.5,130.4,-10.4,+14.1,142.3,-14.4,+13.7,41.7,-6.2,+6.3,
bar,0.0,1.0,0.70,0.30,0.92,0.6136,-0.0274,+0.0286,2.5,-3.1,+3.2,2.2,-2.5,+2.4,-11.7,-2.8,+2.8,38.8,-3.6,+3.6,80.3,-2.8,+3.0,55.7,-2.8,+3.0,30.8,-2.2,+2.5,
knot,0.0,1.0,0.70,0.30,0.92,0.2274,-0.0203,+0.0207,-0.7,-1.0,+2.3,-0.8,-0.9,+1.5,0.0,-0.8,+0.8,33.5,-4.3,+5.1,25.8,-2.6,+2.8,10.5,-0.4,+0.9,10.1,-0.1,+0.2,
disc,1.0,2.0,1.53,1.15,1.88,0.3802,-0.0225,+0.023,-7.9,-6.4,+6.6,-1.2,-7.5,+7.7,-160.8,-6.3,+6.4,44.7,-29.4,+29.0,154.2,-5.2,+5.3,158.6,-5.3,+5.7,89.5,-4.2,+4.4,
bar,1.0,2.0,1.53,1.15,1.88,0.5005,-0.0221,+0.0222,2.9,-3.4,+3.2,-4.0,-2.6,+2.5,-30.6,-3.1,+3.5,40.1,-4.0,+3.9,80.5,-2.7,+2.9,56.3,-2.8,+2.9,44.2,-2.5,+2.6,
knot,1.0,2.0,1.53,1.15,1.88,0.1198,-0.0119,+0.0126,0.1,-1.2,+0.8,-0.4,-0.6,+1.5,0.0,-0.8,+0.7,16.5,-9.4,+9.2,18.5,-2.0,+2.4,10.6,-0.5,+0.9,10.3,-0.2,+0.5,
disc,2.0,3.0,2.57,2.17,2.90,0.4845,-0.0366,+0.034,-10.6,-6.6,+6.6,-3.1,-6.5,+7.4,-369.5,-10.4,+10.3,67.1,-14.2,+32.7,187.6,-5.4,+5.3,178.5,-5.6,+6.3,140.6,-6.5,+7.4,
bar,2.0,3.0,2.57,2.17,2.90,0.4708,-0.0332,+0.0357,6.2,-5.3,+5.5,-1.6,-3.6,+3.5,-156.7,-9.6,+8.7,75.8,-2.5,+2.4,140.3,-4.9,+4.8,88.0,-4.1,+3.8,136.8,-5.1,+4.6,
knot,2.0,3.0,2.57,2.17,2.90,0.0443,-0.0074,+0.0066,2.0,-4.0,+3.5,-3.6,-2.1,+2.1,-6.6,-3.7,+3.9,58.7,-7.0,+8.2,28.0,-6.1,+7.3,11.2,-0.9,+1.9,19.6,-3.7,+4.7,
disc,3.0,4.0,3.56,3.17,3.88,0.6373,-0.0305,+0.0302,-20.4,-4.5,+4.3,-2.0,-1.4,+2.4,-616.3,-8.3,+8.1,84.7,-3.6,+4.6,197.4,-3.1,+3.2,177.2,-3.2,+3.6,168.2,-3.9,+4.2,
-,3.0,4.0,3.56,3.17,3.88,0.0157,-0.0024,+0.0022,32.7,-35.6,+36.9,-197.3,-39.8,+36.0,257.5,-25.4,+27.8,22.9,-7.3,+7.5,206.7,-20.5,+22.6,355.5,-33.9,+36.3,165.9,-20.1,+22.7,
bar,3.0,4.0,3.56,3.17,3.88,0.347,-0.0303,+0.0313,-9.1,-6.0,+6.1,-2.3,-3.2,+3.3,-318.3,-14.0,+13.4,78.9,-1.3,+1.3,186.7,-4.8,+5.1,87.7,-3.9,+3.6,174.3,-6.4,+6.9,
-,4.0,5.0,4.55,4.16,4.84,0.0002,-0.0002,+0.0001,-443.2,-803.6,+380.9,-612.7,-380.7,+298.2,406.0,-365.4,+373.3,35.8,-17.1,+14.5,10.4,-0.3,+0.3,10.5,-0.3,+0.6,11.4,-0.4,+0.4,
-,4.0,5.0,4.55,4.16,4.84,0.0004,-0.0003,+0.0002,355.9,-102.1,+121.5,638.2,-108.2,+84.6,395.1,-27.2,+258.5,9.4,-8.6,+5.8,17.3,-3.7,+8.5,11.0,-0.7,+1.1,24.2,-6.7,+14.9,
disc,4.0,5.0,4.55,4.16,4.84,0.9994,-0.0002,+0.0004,-7.6,-1.6,+1.5,10.9,-0.8,+0.8,-792.7,-2.8,+2.8,83.9,-0.6,+0.8,205.6,-1.2,+1.3,152.4,-0.6,+0.6,280.8,-0.9,+1.0,
