l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
 10.020501  -1.283726  6.8610  0.5418 -3.3468  0.0584  0.8915  0.0649   0.0649 -142.9269    0.0858  1.0000  0.0000 -99.0000 -99.0000 -99.0000 468790.0000
 -3.453545  -0.892834  7.2068  0.4337 -5.8121  0.0852 -0.2736  0.0751   0.0751 -188.2879    0.0688  0.0000  0.0000 -99.0000 -99.0000 -99.0000 41728.0000
  0.283246   4.041902  8.2595  0.6590 -5.6697  0.0480 -4.6395  0.0619   0.0619  181.5928    0.0458  1.0000  0.0000 -99.0000 -99.0000 -99.0000 793638.0000
 -1.782123   0.159771  7.2999  0.5027 -2.9892  0.0869  0.3404  0.0719   0.0719 -198.0668    0.0581  0.0000  0.0000 -99.0000 -99.0000 -99.0000 715637.0000
 -4.196164   4.003852  6.4432  0.5328 -4.3921  0.0671 -2.4818  0.0637   0.0637   14.1448    0.0758  1.0000  0.0000 -99.0000 -99.0000 -99.0000 748983.0000
 14.231086   0.476878  5.9496  0.4070 -4.8833  0.0731  0.4508  0.0621   0.0621  -86.1337    0.0788  0.0000  0.0000 -99.0000 -99.0000 -99.0000 910485.0000
  4.713301   1.406312  8.7801  0.5973 -8.6315  0.0594  1.3723  0.0614   0.0614   40.2745    0.0952  1.0000  0.0000 -99.0000 -99.0000 -99.0000 693879.0000
 -1.745125   0.055968  8.0079  0.4324 -9.2386  0.0160  5.8416  0.0604   0.0604 -109.6761    0.0793  0.0000  0.0000 -99.0000 -99.0000 -99.0000 806172.0000
 -4.571649   0.877787  8.3344  0.6230 -7.2080  0.0747  1.2609  0.0648   0.0648 -203.4542    0.0618  1.0000  0.0000 -99.0000 -99.0000 -99.0000 635037.0000
 11.907581   0.056504  6.9056  0.5229 -6.4175  0.0683 -0.6262  0.0841   0.0841 -114.6022    0.0631  0.0000  0.0000 -99.0000 -99.0000 -99.0000 606251.0000
 -4.566238  -0.901601  7.5157  0.5772 -11.1635  0.0740  1.1260  0.0754   0.0754 -182.0056    0.0674  1.0000  0.0000 -99.0000 -99.0000 -99.0000 134925.0000
  6.499288  -1.992840  4.1311  0.1896 -4.3278  0.0566 -2.1607  0.0663   0.0663   55.1847    0.0703  0.0000  0.0000 -99.0000 -99.0000 -99.0000 172870.0000
 32.177216  -0.785364  8.0663  0.6181 -7.6773  0.0732 -0.3488  0.0469   0.0469   35.4826    0.0885  1.0000  0.0000 -99.0000 -99.0000 -99.0000 268386.0000
  1.119421   0.391869  7.5902  0.5489 -1.0214  0.0807 -1.7258  0.0408   0.0408  -54.0675    0.0510  0.0000  0.0000 -99.0000 -99.0000 -99.0000 380607.0000
  9.547511   1.494590  7.6978  0.6461 -8.9842  0.0593 -2.6241  0.0761   0.0761   58.9559    0.0864  1.0000  0.0000 -99.0000 -99.0000 -99.0000 875350.0000
  0.163556  -0.458910  7.7090  0.4910  0.4826  0.0895 -0.8009  0.0902   0.0902  -75.2078    0.0620  0.0000  0.0000 -99.0000 -99.0000 -99.0000 991133.0000
