l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
-27.423770   0.898693  8.4430  1.1695 -5.3869  0.0395  0.7340  0.0552   0.0552  -63.6720    0.0909  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 139182.0000
-24.265222  10.384646  4.6816  0.5292 -3.5634  0.0732  1.0422  0.0514   0.0514  -29.5365    0.0724  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 364104.0000
-20.572115   5.536036  5.2397  0.9647 -3.8022  0.0435 -2.1911  0.0543   0.0543  -65.9650    0.0411  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 498100.0000
 -3.017886   2.964163  5.4711  0.5448 -10.0053  0.0581 -1.0332  0.0452   0.0452 -100.8481    0.0445  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 476148.0000
-31.827379  -4.161027  5.2127  0.8650 -2.9658  0.0384 -1.6106  0.0698   0.0698  -57.5330    0.1019  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 367368.0000
 -5.245009  -6.821380  4.4575  0.4864 -3.8783  0.0686 -2.0212  0.0418   0.0418  -48.5937    0.0445  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 481437.0000
-10.304853  -9.798342  8.1675  1.3152 -4.3644  0.0643 -0.0138  0.0495   0.0495  -88.8526    0.0903  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 455346.0000
-30.024233   0.512143  9.3076  1.3444 -7.0242  0.0513 -1.5218  0.0551   0.0551  -43.0065    0.0565  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 346960.0000
 16.747808   1.475085  9.6081  1.4676 -9.2850  0.0268  0.5383  0.0483   0.0483   84.4168    0.0376  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 101301.0000
 -0.280592  -1.535626  9.0582  1.4003 -8.5207  0.0550  3.1657  0.0521   0.0521  -92.9950    0.0619  0.0000 20.0000 -99.0000 -99.0000 -99.0000 86188.0000
  6.497273   0.265804  4.2344  0.3928 -8.5378  0.0377  1.4175  0.0479   0.0479   27.4031    0.0582  1.0000  0.0000 -99.0000 -99.0000 -99.0000 88331.0000
 23.232988  -0.315424  5.0783  0.5471 -4.3373  0.0466 -1.1457  0.0427   0.0427   32.5865    0.0590  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 241083.0000
  5.574660  -3.119102  7.5431  1.2225  0.2775  0.0461  2.8243  0.0273   0.0273   78.1591    0.0730  1.0000  0.0000 -99.0000 -99.0000 -99.0000 32204.0000
 -1.645057  -5.134850  7.1820  1.2710 -2.8940  0.0692 -7.5481  0.0422   0.0422  103.6958    0.0678  0.0000 20.0000 -99.0000 -99.0000 -99.0000 95822.0000
  6.621327 -10.199500  9.3019  1.2100 -5.3060  0.0377 -0.0528  0.0557   0.0557  111.1064    0.0499  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 148098.0000
 14.602090   8.237527  4.9348  0.5963 -7.0126  0.0801 -0.3660  0.0550   0.0550   58.1121    0.0939  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 360740.0000
  7.260292   0.955207  9.9264  1.7027 -8.8955  0.0629  0.3118  0.0443   0.0443  -29.5307    0.0807  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 467250.0000
-35.830395  -1.647781  4.9873  0.9493 -4.7785  0.0595  0.1886  0.0509   0.0509    6.9262    0.0377  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 351636.0000
  0.592018   6.262385  6.3154  0.8522 -2.6670  0.0443 -4.1490  0.0470   0.0470   12.8116    0.0445  1.0000 20.0000 -99.0000 -99.0000 -99.0000 62644.0000
-27.818608   2.080863 10.4507  1.6841 -5.6631  0.0530 -0.6612  0.0281   0.0281  -24.2100    0.0863  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 439426.0000
 -9.145058   0.879901  4.2688  0.7292 -3.4605  0.0406 -4.1363  0.0504   0.0504    3.4489    0.0534  1.0000  0.0000 -99.0000 -99.0000 -99.0000 6755.0000
 -5.969419 -10.955461  6.1691  0.8022 -5.9227  0.0690 -2.4906  0.0647   0.0647   12.4185    0.0842  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 292315.0000
-20.942208   1.263918  6.4267  1.1348 -5.5194  0.0371 -0.1163  0.0412   0.0412 -100.9597    0.0507  1.0000  0.0000 -99.0000 -99.0000 -99.0000 70094.0000
  1.187429  -2.727888  7.8104  1.1176 -9.7021  0.0362  0.0126  0.0627   0.0627  200.7976    0.0549  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 172243.0000
 22.662956   2.524851  8.6922  1.2888 -6.2789  0.0452  0.1362  0.0592   0.0592  128.6122    0.0697  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 353315.0000
 -9.757019  -1.355273  4.2228  0.3266 -1.9609  0.0496  0.3901  0.0424   0.0424  -32.6443    0.0731  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 410552.0000
  5.508189  -2.967458  7.3222  1.0021 -7.6673  0.0385 -0.7121  0.0539   0.0539   68.8210    0.0974  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 455818.0000
