l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
  6.077375  -8.631650  4.3490  0.0026 -5.5448  0.0006  5.6831  0.0003   0.0003  -10.0588    0.0008  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 237233.0000
 21.078676  -1.202752  5.9180  0.0064 -6.6864  0.0003 -0.0494  0.0006   0.0006   16.0653    0.0005  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 364661.0000
  7.713240   6.044200  8.1163  0.0108 -7.1120  0.0006  0.2135  0.0007   0.0007  133.8859    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 182909.0000
  5.076634  -2.163766  6.1321  0.0063 -6.7502  0.0005  3.8402  0.0006   0.0006 -134.1810    0.0006  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 420381.0000
-26.647518   1.217266  7.1002  0.0072 -5.9661  0.0006 -0.0280  0.0005   0.0005  -80.2109    0.0007  1.0000  0.0000 -99.0000 -99.0000 -99.0000 66718.0000
 19.518570   3.497670 10.1658  0.0128 -6.5409  0.0007  0.4596  0.0004   0.0004   36.4665    0.0009  0.0000  0.0000 -99.0000 -99.0000 -99.0000 59069.0000
 16.582466  -2.853453  8.4659  0.0113 -7.6454  0.0006 -0.1886  0.0007   0.0007   95.3462    0.0007  1.0000  0.0000 -99.0000 -99.0000 -99.0000 67065.0000
  1.657278   3.876590  5.5235  0.0077 -6.1349  0.0005  1.9870  0.0004   0.0004  -15.9724    0.0004  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 258735.0000
 -5.365733  -3.189217  9.3839  0.0155 -6.7142  0.0005 -0.9508  0.0005   0.0005 -111.2799    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 213055.0000
  0.702550   1.025478  8.6222  0.0127 -4.8821  0.0005  7.6507  0.0004   0.0004  194.3309    0.0004  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 173537.0000
 28.884857   0.047814  5.0732  0.0072 -4.9795  0.0005  0.5193  0.0005   0.0005   18.7318    0.0008  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 444648.0000
 -3.166456   0.423673  9.3963  0.0124 -6.5339  0.0006  6.0392  0.0007   0.0007  -62.8582    0.0010  0.0000 20.0000 -99.0000 -99.0000 -99.0000 58831.0000
-15.444771   1.976478  6.2278  0.0102 -7.1873  0.0005  1.7083  0.0005   0.0005  -77.1018    0.0008  1.0000  0.0000 -99.0000 -99.0000 -99.0000 13959.0000
-33.089556  -0.021886  6.9643  0.0100 -4.4713  0.0005  0.5812  0.0006   0.0006  -21.3811    0.0004  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 107085.0000
 28.240638   0.414108  8.2810  0.0126 -4.3898  0.0003  0.9542  0.0005   0.0005   39.3972    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 443254.0000
-14.533934  -8.299538  4.1315  0.0073 -7.8502  0.0003  0.3164  0.0005   0.0005 -116.3821    0.0007  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 442305.0000
 34.058552  -3.703297  5.4347  0.0088 -3.3301  0.0007  1.1037  0.0005   0.0005   10.8946    0.0007  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 405676.0000
  5.762314  14.138319  5.2034  0.0034 -8.9578  0.0005  0.3981  0.0005   0.0005   -3.6294    0.0002  0.0000  0.0000 -99.0000 -99.0000 -99.0000 12926.0000
 17.641351   5.549009  7.9598  0.0132 -6.6638  0.0005 -3.5895  0.0006   0.0006   90.2725    0.0009  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 495860.0000
 -0.227118  -2.122576  6.5347  0.0090 -1.4040  0.0003  1.6262  0.0004   0.0004 -208.9742    0.0006  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 428981.0000
 34.222951   1.755019  7.1609  0.0089 -6.3817  0.0006 -1.2914  0.0005   0.0005   49.0443    0.0009  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 399892.0000
 -0.556784   1.395351 10.8452  0.0177 -5.3751  0.0006  1.5766  0.0005   0.0005 -103.5862    0.0005  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 357315.0000
 17.099199   0.076488  5.6267  0.0088 -10.5993  0.0005 -1.6114  0.0004   0.0004   20.7049    0.0008  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 310945.0000
  3.475524 -14.081727  5.0131  0.0088 -8.1632  0.0003 -1.4212  0.0006   0.0006   73.5243    0.0008  0.0000  0.0000 -99.0000 -99.0000 -99.0000 13200.0000
 28.769856   1.257217  3.6489  0.0039 -3.0699  0.0004 -0.6225  0.0005   0.0005  -59.8628    0.0009  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 106239.0000
  0.824775  -0.375353  7.9690  0.0109 -1.5924  0.0006 -5.9205  0.0005   0.0005 -158.5391    0.0010  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 353695.0000
 -4.556267  -4.260511  9.4387  0.0172 -4.3057  0.0002 -3.9280  0.0003   0.0003 -117.7516    0.0009  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 105287.0000
  0.758776  -0.638248  6.9917  0.0091 -7.4715  0.0006 -2.1026  0.0006   0.0006 -148.5007    0.0009  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 170421.0000
-14.855607   2.039934  5.1033  0.0074 -3.8527  0.0007 -3.4097  0.0004   0.0004  -64.4393    0.0007  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 212144.0000
  1.658192  -2.202740  7.5929  0.0079 -5.1541  0.0006 -1.7684  0.0003   0.0003  -56.7121    0.0004  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 400476.0000
  6.479642   1.984471  5.7714  0.0089 -7.8272  0.0005  0.9570  0.0005   0.0005   19.5485    0.0005  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 177543.0000
  3.806146  -3.996088  7.2317  0.0128 -3.6158  0.0005 -0.6870  0.0006   0.0006   64.4941    0.0005  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 486602.0000
 11.288791   0.294090  7.4560  0.0108 -8.6211  0.0007  3.3076  0.0006   0.0006   13.2033    0.0008  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 412782.0000
 18.948374  -0.360770  5.6722  0.0069 -3.7306  0.0008 -0.1108  0.0004   0.0004   19.1194    0.0004  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 180430.0000
 16.922473   2.652581  4.4878  0.0062 -5.5041  0.0006  0.9580  0.0006   0.0006   78.1254    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 466860.0000
 -5.828686   0.593677  3.3694  0.0036 -1.2110  0.0004  1.5296  0.0004   0.0004    2.0520    0.0001  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 428708.0000
 23.388403   7.448208  4.2705  0.0063 -3.9959  0.0006  0.1133  0.0005   0.0005   23.5569    0.0010  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 330389.0000
  2.925142   3.615322  4.0313  0.0047 -1.2962  0.0005 -3.7823  0.0003   0.0003   -0.6392    0.0006  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 201846.0000
 27.996864  -4.655675  4.9091  0.0034 -7.1549  0.0006 -0.2528  0.0004   0.0004   92.9793    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 334439.0000
 15.021828  -1.479283  5.8302  0.0098 -3.9219  0.0005  0.2704  0.0005   0.0005  108.6541    0.0014  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 106413.0000
 28.346720  12.164970  4.7211  0.0046 -7.5571  0.0007  0.5803  0.0005   0.0005   56.4678    0.0009  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 317198.0000
 -3.983537   3.981137  6.6552  0.0117 -5.1355  0.0007  1.3275  0.0003   0.0003   -6.6568    0.0005  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 443616.0000
-16.071781   1.095438  7.3078  0.0117 -6.4940  0.0007 -0.2873  0.0006   0.0006 -136.8848    0.0005  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 491898.0000
 -1.140411   4.917777  8.2735  0.0135 -7.1458  0.0007 10.4189  0.0005   0.0005  191.7562    0.0008  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 151915.0000
 34.483536   2.230397  6.2107  0.0091 -5.5344  0.0003 -2.6322  0.0004   0.0004   50.0939    0.0006  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 121991.0000
