comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.64,0.32,0.88,0.1435,-0.0207,+0.0196,36.9,-2.4,+2.2,-9.6,-7.8,+7.1,-138.5,-5.5,+5.5,81.4,-4.5,+5.1,10.6,-0.5,+1.0,57.0,-5.7,+6.7,23.0,-4.0,+4.2,
disc,0.0,1.0,0.64,0.32,0.88,0.4139,-0.0469,+0.0505,-6.0,-2.9,+2.8,-5.7,-2.2,+2.3,-54.6,-2.5,+2.7,22.8,-7.7,+9.3,34.3,-3.3,+3.7,23.4,-2.1,+2.1,62.6,-3.9,+3.5,
bar,0.0,1.0,0.64,0.32,0.88,0.4403,-0.0537,+0.0454,-8.0,-3.3,+3.5,-1.5,-1.2,+2.2,-53.4,-2.6,+2.7,59.1,-10.3,+10.8,68.8,-3.3,+3.5,59.3,-3.1,+3.5,69.4,-3.1,+3.4,
disc,1.0,2.0,1.49,1.15,1.86,0.2652,-0.03,+0.0281,2.0,-2.0,+1.9,-2.3,-3.5,+3.1,-152.4,-4.5,+5.8,14.3,-4.5,+5.8,26.6,-2.3,+2.4,45.8,-3.3,+3.7,115.5,-5.0,+4.9,
disc,1.0,2.0,1.49,1.15,1.86,0.4703,-0.029,+0.0287,2.7,-3.3,+3.4,0.9,-2.4,+2.6,-146.8,-4.4,+4.1,82.1,-5.1,+6.0,90.8,-2.9,+3.0,78.0,-2.1,+2.4,105.3,-3.3,+3.3,
bar,1.0,2.0,1.49,1.15,1.86,0.2638,-0.0209,+0.0217,-5.0,-3.3,+3.2,0.5,-0.9,+1.1,-30.0,-4.5,+4.5,56.2,-1.3,+1.3,61.7,-3.9,+3.8,12.0,-1.1,+1.2,52.1,-3.7,+3.5,
disc,2.0,3.0,2.46,2.10,2.83,0.5978,-0.0113,+0.0131,-6.2,-2.1,+1.9,-1.5,-0.7,+1.0,-367.4,-3.0,+3.3,88.0,-1.0,+1.3,95.5,-1.2,+1.3,68.6,-0.8,+0.9,147.9,-2.0,+2.4,
-,2.0,3.0,2.46,2.10,2.83,0.0024,-0.0007,+0.0007,-118.7,-68.4,+14.8,-56.9,-28.4,+43.8,52.6,-15.3,+10.4,33.5,-11.4,+15.3,17.1,-4.0,+8.4,15.7,-2.6,+4.8,11.5,-0.9,+1.7,
bar,2.0,3.0,2.46,2.10,2.83,0.3998,-0.0132,+0.0115,-1.4,-0.7,+0.6,0.8,-0.6,+0.5,-113.5,-3.8,+4.6,78.5,-0.5,+0.6,88.1,-1.7,+1.8,24.7,-0.5,+0.6,103.4,-2.2,+2.4,
-,3.0,4.0,3.50,3.15,3.87,0.0009,-0.0007,+0.0005,374.0,-431.7,+771.7,439.4,-413.8,+868.9,66.2,-470.4,+478.6,47.6,-22.1,+22.8,16.6,-3.5,+8.0,13.5,-2.1,+4.5,15.0,-2.7,+6.0,
-,3.0,4.0,3.50,3.15,3.87,0.001,-0.0007,+0.0006,334.4,-316.2,+573.0,-44.1,-595.2,+543.8,279.3,-274.8,+352.6,38.1,-23.4,+21.3,15.1,-3.1,+7.0,13.1,-2.0,+5.1,12.4,-1.5,+3.3,
disc,3.0,4.0,3.50,3.15,3.87,0.9981,-0.0008,+0.001,-1.5,-2.9,+3.3,-4.7,-1.5,+1.3,-553.5,-4.0,+3.6,73.8,-1.4,+1.5,89.3,-1.0,+1.0,68.3,-0.6,+0.6,206.4,-2.1,+2.5,
-,4.0,5.0,4.47,4.12,4.79,0.0214,-0.0064,+0.011,438.1,-777.4,+1263.8,990.2,-371.8,+1117.6,193.1,-433.3,+436.3,77.9,-6.3,+8.9,25.9,-5.3,+13.5,13.7,-1.5,+3.3,15.5,-2.6,+8.0,
-,4.0,5.0,4.47,4.12,4.79,0.0125,-0.006,+0.0062,500.5,-315.8,+588.1,374.0,-433.8,+519.2,838.8,-199.5,+222.4,20.5,-24.1,+11.7,14.1,-1.9,+2.6,11.7,-1.0,+1.6,13.2,-1.8,+2.3,
disc,4.0,5.0,4.47,4.12,4.79,0.9648,-0.0139,+0.0062,-2.2,-6.1,+8.6,-10.8,-5.0,+3.2,-778.2,-8.4,+8.8,57.8,-3.7,+5.3,79.3,-0.9,+0.8,71.1,-1.0,+1.0,313.7,-3.8,+5.3,
