comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.60,0.27,0.89,0.0916,-0.022,+0.0211,-23.4,-19.1,+20.3,-4.1,-18.2,+20.2,-88.9,-14.6,+13.1,44.6,-16.0,+17.0,143.3,-16.9,+21.1,108.3,-15.4,+17.8,30.8,-10.5,+10.5,
bar,0.0,1.0,0.60,0.27,0.89,0.5225,-0.0275,+0.028,7.4,-3.2,+3.1,1.3,-3.3,+3.2,-13.8,-3.4,+3.3,29.4,-7.7,+8.9,60.4,-3.2,+3.7,46.1,-3.6,+4.1,42.7,-2.8,+3.1,
knot,0.0,1.0,0.60,0.27,0.89,0.3854,-0.0257,+0.0263,-0.1,-0.5,+0.8,0.1,-0.7,+0.4,-0.1,-0.4,+0.7,30.0,-5.6,+6.9,18.7,-1.7,+1.9,10.7,-0.5,+0.9,10.2,-0.2,+0.4,
disc,1.0,2.0,1.53,1.16,1.87,0.3195,-0.0289,+0.0284,1.3,-8.8,+9.9,-6.0,-8.8,+8.7,-137.7,-8.0,+8.9,42.8,-32.3,+30.0,139.6,-7.4,+8.4,142.5,-7.5,+8.9,92.9,-5.1,+5.5,
bar,1.0,2.0,1.53,1.16,1.87,0.4461,-0.0283,+0.0294,-6.0,-3.9,+4.0,1.4,-2.8,+3.1,-28.9,-4.4,+4.7,51.7,-6.3,+6.2,65.2,-4.8,+5.1,44.7,-3.9,+4.0,49.7,-3.5,+3.7,
knot,1.0,2.0,1.53,1.16,1.87,0.2345,-0.0194,+0.0188,1.0,-1.3,+1.1,-1.0,-0.9,+1.1,-1.8,-1.3,+1.3,24.4,-7.9,+8.7,16.1,-1.5,+1.6,10.2,-0.2,+0.4,10.3,-0.2,+0.5,
disc,2.0,3.0,2.54,2.16,2.88,0.4658,-0.0243,+0.0254,2.7,-7.4,+7.7,-1.6,-7.4,+6.1,-342.6,-9.5,+9.8,83.0,-5.2,+80.5,169.4,-35.8,+9.7,136.0,-6.4,+36.2,143.1,-6.9,+7.5,
bar,2.0,3.0,2.54,2.16,2.88,0.4782,-0.0244,+0.0247,1.6,-5.9,+6.2,-0.1,-2.0,+1.9,-114.7,-7.5,+7.4,77.1,-1.1,+1.1,129.5,-6.3,+6.2,34.9,-2.1,+2.1,91.8,-5.1,+5.7,
knot,2.0,3.0,2.54,2.16,2.88,0.0561,-0.0099,+0.009,-0.2,-1.0,+2.1,-0.1,-1.0,+1.4,0.0,-1.6,+1.4,65.2,-13.2,+19.2,14.3,-3.0,+3.7,10.3,-0.3,+0.7,11.7,-1.3,+3.1,
disc,3.0,4.0,3.54,3.17,3.88,0.5759,-0.021,+0.0274,3.6,-3.6,+3.4,7.2,-3.8,+4.7,-645.0,-3.3,+3.6,0.9,-0.9,+0.6,131.3,-2.4,+3.2,176.3,-2.9,+2.8,95.5,-3.1,+3.3,
-,3.0,4.0,3.54,3.17,3.88,0.0004,-0.0004,+0.0003,218.2,-213.1,+403.2,205.8,-225.5,+425.2,223.3,-170.1,+205.6,53.6,-20.5,+24.4,14.8,-2.9,+6.5,15.8,-3.8,+8.7,16.1,-3.7,+8.4,
bar,3.0,4.0,3.54,3.17,3.88,0.4237,-0.0273,+0.021,-3.5,-5.0,+2.3,-1.8,-1.6,+1.8,-356.6,-12.1,+14.7,80.9,-0.6,+0.6,177.4,-4.2,+3.6,58.6,-1.5,+1.7,184.7,-6.4,+5.9,
