l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
-31.384731   1.453436  5.4963  0.3344 -6.3525  0.1021 -0.0448  0.0685   0.0685  -66.8801    0.1039  1.0000  0.0000 -99.0000 -99.0000 -99.0000 964828.0000
  8.836124  -2.093883  6.6035  0.4440 -5.1802  0.0844 -1.6544  0.0781   0.0781  -45.0878    0.0511  0.0000  0.0000 -99.0000 -99.0000 -99.0000 935275.0000
-27.132101   1.108230  5.0503  0.3079 -7.2010  0.0620 -0.2393  0.0886   0.0886  -33.4914    0.0501  1.0000  0.0000 -99.0000 -99.0000 -99.0000 911476.0000
 -3.606428  -0.205214  9.4283  0.8057 -5.7431  0.0442 -0.9280  0.0726   0.0726 -117.3809    0.0372  0.0000  0.0000 -99.0000 -99.0000 -99.0000 457216.0000
 -4.540375  -3.322790  7.9335  0.5323 -6.4306  0.0857 -0.2393  0.0527   0.0527   32.8990    0.0480  1.0000  1.0000 -99.0000 -99.0000 -99.0000 58248.0000
 -4.779046   1.715568  8.8596  0.6843 -8.1225  0.0829  0.8809  0.0479   0.0479 -288.9960    0.0952  0.0000  0.0000 -99.0000 -99.0000 -99.0000 785273.0000
-27.048325  -1.585228  7.7510  0.6551 -5.7065  0.0944 -0.0466  0.0701   0.0701  -78.1507    0.0814  1.0000  0.0000 -99.0000 -99.0000 -99.0000 760797.0000
 -3.906395   2.451455 10.0264  0.8171 -5.6235  0.0533  0.1054  0.0788   0.0788   27.4789    0.0712  0.0000  0.0000 -99.0000 -99.0000 -99.0000 741613.0000
  9.769979   1.237297  6.9617  0.5069 -7.3505  0.0572 -0.1072  0.0507   0.0507  -48.9193    0.0618  1.0000  1.0000 -99.0000 -99.0000 -99.0000 19475.0000
 13.726860  -1.049121  6.0089  0.4129 -8.3054  0.0598  2.2249  0.0597   0.0597   52.1754    0.0196  0.0000  0.0000 -99.0000 -99.0000 -99.0000 531380.0000
 -8.850021  -1.446047  5.2473  0.3032 -8.7669  0.0627  0.4816  0.0520   0.0520 -109.7878    0.0767  1.0000  0.0000 -99.0000 -99.0000 -99.0000 239960.0000
 -2.237850   0.079917  8.4852  0.6982 -11.2174  0.0590 -1.3388  0.0520   0.0520   16.5134    0.0364  0.0000  0.0000 -99.0000 -99.0000 -99.0000 924093.0000
 -4.122262  -1.450788  4.9769  0.3227 -1.0002  0.0829  3.6118  0.0770   0.0770  -18.2852    0.1100  1.0000  0.0000 -99.0000 -99.0000 -99.0000 999537.0000
 34.099529  -2.443083  4.9549  0.3103 -7.8676  0.0610  0.2064  0.0818   0.0818   27.9019    0.0598  0.0000  0.0000 -99.0000 -99.0000 -99.0000 191125.0000
 27.659035  -3.894201  4.7324  0.2444 -3.7662  0.0756 -1.3025  0.0740   0.0740  -20.0436    0.0671  1.0000  0.0000 -99.0000 -99.0000 -99.0000 759626.0000
-11.888639  -3.719840  6.0793  0.4833 -5.9627  0.0987 -2.2141  0.0588   0.0588 -131.4376    0.0717  0.0000  0.0000 -99.0000 -99.0000 -99.0000 361904.0000
