l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
  6.364172   7.386625  5.8197  0.9979 -8.1062  0.0558 -5.0507  0.0387   0.0387   66.3328    0.0686  1.0000  0.0000 -99.0000 -99.0000 -99.0000 41529.0000
 -5.312063 -13.394705  4.6641  0.6105 -3.1813  0.0438  0.0542  0.0369   0.0369   24.3685    0.0813  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 467239.0000
 11.254453   0.156497  5.4565  0.7398 -1.3492  0.0472  0.2936  0.0621   0.0621   74.6376    0.0860  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 139598.0000
 -5.681602   6.950476  8.0567  0.9158 -6.1072  0.0299 -0.1669  0.0468   0.0468    4.7554    0.0914  0.0000 -1.0000 -99.0000 -99.0000 -99.0000 16930.0000
-14.507869  -4.826440  3.9470  0.4186 -4.1491  0.0427  2.9307  0.0386   0.0386 -116.2190    0.0565  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 356151.0000
 18.679226  -3.104860  5.0365  0.5507 -4.9391  0.0311 -1.4160  0.0619   0.0619   24.6655    0.0556  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 246673.0000
 12.792849   0.301525  5.7134  0.8460 -6.2312  0.0513 -2.5823  0.0633   0.0633   62.5597    0.0629  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 383326.0000
-21.939979  10.034877  6.1813  1.1424 -2.9165  0.0539  1.1097  0.0413   0.0413  -44.4981    0.0693  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 192186.0000
 12.868309   6.077092  5.3108  0.7025 -6.2893  0.0482  3.4964  0.0446   0.0446   15.3449    0.0998  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 415069.0000
 -0.109173   1.813744  6.9005  1.0583 -4.8396  0.0364  0.1882  0.0396   0.0396  241.3625    0.0812  0.0000  4.0000 -99.0000 -99.0000 -99.0000 86567.0000
-14.995662   1.960333  6.8545  0.9559 -5.3512  0.0386 -0.3511  0.0335   0.0335   74.1595    0.0440  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 451324.0000
-12.605391   1.182448  5.2765  0.9940 -4.9824  0.0503 -1.7543  0.0490   0.0490 -102.1786    0.0308  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 150177.0000
 29.190509   1.229154  4.7949  0.5194 -1.6710  0.0290 -0.6512  0.0357   0.0357   -1.0381    0.0953  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 299959.0000
 -2.688815  -0.969495  9.6989  1.6314 -8.3818  0.0409 -3.0063  0.0482   0.0482   83.6980    0.0797  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 174111.0000
 22.449037  -9.760208  8.3607  1.2384 -5.9541  0.0588  1.1813  0.0446   0.0446   86.1302    0.0391  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 268526.0000
 -1.071334   0.754378  8.1942  1.3654 -3.3924  0.0400 -2.5277  0.0648   0.0648 -115.5386    0.0636  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 146125.0000
-36.706757  -9.474418  4.5439  0.7034 -5.6697  0.0558  0.9678  0.0547   0.0547  -30.5539    0.0870  1.0000  0.0000 -99.0000 -99.0000 -99.0000 4190.0000
 -5.591807   6.869904  9.3660  1.4853 -5.3550  0.0750 -0.2535  0.0519   0.0519   25.2222    0.0722  0.0000 -1.0000 -99.0000 -99.0000 -99.0000 70718.0000
-16.027860  -4.871231  4.7410  0.8150 -2.8121  0.0800  0.5966  0.0495   0.0495  -25.2219    0.0708  1.0000  0.0000 -99.0000 -99.0000 -99.0000 47031.0000
-15.449541  -0.175115  3.6813  0.2249 -5.4428  0.0439  1.8790  0.0544   0.0544 -100.6324    0.0819  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 274902.0000
 -4.062346  -9.005626  6.8332  1.1428 -2.5537  0.0464  7.0754  0.0516   0.0516  -58.1944    0.0371  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 423645.0000
-16.852687   6.601080  3.7745  0.6565 -5.8645  0.0406  2.7007  0.0451   0.0451  -52.5041    0.0955  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 331775.0000
 11.273624   8.183826  3.9047  0.4644 -5.1995  0.0543 -1.1154  0.0723   0.0723   -7.4689    0.0691  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 476686.0000
 -1.804592 -14.576552  6.9662  1.0380 -6.5392  0.0503  3.2000  0.0604   0.0604  -93.5676    0.0851  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 172790.0000
 33.179463   1.446601  5.3928  0.8507 -5.8802  0.0393 -0.7763  0.0601   0.0601   55.4574    0.0663  1.0000  0.0000 -99.0000 -99.0000 -99.0000 60363.0000
 -0.846139  -4.807807  8.3067  0.9720 -6.5725  0.0334  0.9939  0.0438   0.0438   13.5173    0.1090  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 284393.0000
-19.931844   1.288802  4.8475  0.2829 -4.4577  0.0522 -1.0340  0.0574   0.0574  -82.9840    0.0637  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 155515.0000
-11.892028  23.851052  4.0265  0.6504 -5.8872  0.0508 -1.9742  0.0908   0.0908  -84.1566    0.0461  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 300950.0000
-30.531855  -5.443932  7.0874  0.9134 -4.2881  0.0589 -2.1245  0.0547   0.0547  -73.2483    0.0744  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 167711.0000
-24.402989  -4.295108  7.1529  1.0348 -4.2191  0.0489 -1.0400  0.0441   0.0441  -54.1994    0.0586  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 464415.0000
-10.334298   1.411599  7.1302  0.8330 -6.9233  0.0525 -0.1397  0.0592   0.0592   38.9727    0.0742  1.0000 -1.0000 -99.0000 -99.0000 -99.0000 23997.0000
  1.179642  -1.096670  5.9623  0.8226 -6.6023  0.0399 -1.0624  0.0581   0.0581  -89.6760    0.0634  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 482083.0000
  7.945994   0.621131  8.3127  1.3837 -5.7286  0.0423 -0.0329  0.0412   0.0412  -41.2370    0.0911  1.0000 -1.0000 -99.0000 -99.0000 -99.0000 30510.0000
 -1.109537   8.784232  4.6407  1.0077 -5.8334  0.0589  2.7512  0.0432   0.0432   69.9883    0.0225  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 317205.0000
  7.653254   1.297664  5.9423  0.6382  0.4897  0.0200 -1.3749  0.0577   0.0577    4.1582    0.0695  1.0000  0.0000 -99.0000 -99.0000 -99.0000 83280.0000
 19.160521 -17.230503  5.5143  0.7815 -6.8044  0.0428 -4.1436  0.0431   0.0431   31.9841    0.0692  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 358719.0000
  6.202330   1.724647  5.6325  0.4869 -10.7232  0.0591 -3.5550  0.0679   0.0679   -8.8993    0.0511  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 309255.0000
  0.748098   1.263425  4.8528  0.6845 -5.8388  0.0214  0.4573  0.0761   0.0761  -69.5302    0.0345  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 120867.0000
-15.761154   1.381365  5.1535  0.7382 -2.3815  0.0238 -2.4171  0.0406   0.0406  -38.7600    0.0578  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 233702.0000
-16.931781  -2.313497  9.9355  1.2686 -8.1270  0.0541  1.3438  0.0548   0.0548  -74.1860    0.0850  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 122025.0000
 22.349309   6.837320  5.7758  0.7647 -6.5557  0.0534  0.4412  0.0557   0.0557  102.7017    0.0539  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 265209.0000
  1.615570  -2.058000  6.6426  0.8438 -7.5871  0.0355  2.1879  0.0576   0.0576   34.9050    0.0404  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 155801.0000
 -4.621022   7.095114  7.0700  0.9751 -7.0033  0.0348 -0.6618  0.0630   0.0630   18.6077    0.0511  1.0000 -1.0000 -99.0000 -99.0000 -99.0000 27362.0000
 15.789310  -0.598956  5.5427  0.5109 -6.8234  0.0534 -0.1509  0.0426   0.0426 -111.8087    0.0898  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 386048.0000
 13.592915   0.256620  5.7220  0.6763 -0.9825  0.0467 -0.7232  0.0374   0.0374   49.6662    0.1260  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 116264.0000
 23.760154 -20.186291  4.5222  0.5643 -5.0656  0.0498  3.2631  0.0504   0.0504   -7.6033    0.0858  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 241642.0000
 -8.468270   6.446503  7.9965  1.3877 -5.0554  0.0525 -0.1191  0.0585   0.0585  -80.1900    0.1069  1.0000 20.0000 -99.0000 -99.0000 -99.0000 34320.0000
-24.517157   5.984067  3.7774  0.3937 -4.4000  0.0362 -0.0756  0.0513   0.0513  -98.3496    0.0378  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 487339.0000
 29.708085  11.062175  8.4030  1.3178 -5.5085  0.0630 -1.0848  0.0454   0.0454   38.6723    0.0969  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 417627.0000
  0.767279   1.925608  4.7954  0.6246  0.2847  0.0564 -0.9379  0.0592   0.0592  -17.1528    0.0536  0.0000 -99.0000 -99.0000 -99.0000 -99.0000 190835.0000
-25.018583  -9.863168  4.7214  0.6817 -7.3786  0.0515  3.7686  0.0667   0.0667  -88.4475    0.0864  1.0000 -99.0000 -99.0000 -99.0000 -99.0000 126543.0000
