comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.65,0.31,0.89,0.3242,-0.0197,+0.0204,2.5,-2.9,+3.2,-2.8,-2.8,+2.7,-111.2,-5.0,+4.7,28.5,-19.8,+16.7,59.7,-3.4,+3.1,54.1,-2.6,+2.8,43.3,-3.1,+4.1,
bar,0.0,1.0,0.65,0.31,0.89,0.183,-0.0202,+0.0201,-0.2,-0.8,+2.2,-0.1,-0.9,+1.6,-0.1,-0.8,+2.4,52.1,-5.3,+5.2,63.6,-5.2,+5.6,38.7,-3.2,+3.4,49.5,-3.2,+3.6,
knot,0.0,1.0,0.65,0.31,0.89,0.4929,-0.0124,+0.0128,-0.0,-0.1,+0.3,0.0,-0.2,+0.2,-0.0,-0.1,+0.3,42.7,-33.8,+30.4,10.0,-0.0,+0.1,10.0,-0.0,+0.1,10.0,-0.0,+0.0,
disc,1.0,2.0,1.48,1.15,1.85,0.6123,-0.0134,+0.0132,2.7,-2.0,+2.0,1.4,-1.7,+1.8,-151.3,-3.4,+3.4,82.2,-4.4,+4.5,78.8,-1.8,+1.9,66.2,-1.2,+1.3,106.4,-2.3,+2.3,
knot,1.0,2.0,1.48,1.15,1.85,0.2513,-0.01,+0.0099,-0.5,-0.5,+0.5,0.3,-0.5,+0.6,-1.4,-0.6,+0.6,56.8,-23.3,+35.8,10.1,-0.1,+0.1,10.2,-0.1,+0.2,10.5,-0.3,+0.5,
bar,1.0,2.0,1.48,1.15,1.85,0.1363,-0.0128,+0.0127,0.1,-0.6,+0.6,-0.0,-0.5,+0.6,-0.4,-0.4,+0.8,58.1,-1.5,+1.5,71.6,-4.6,+5.0,12.1,-1.3,+1.9,54.5,-3.7,+4.0,
disc,2.0,3.0,2.46,2.11,2.85,0.6129,-0.0101,+0.0116,-7.2,-2.7,+2.6,-1.2,-0.6,+0.7,-354.9,-2.9,+3.4,87.9,-0.9,+0.9,99.0,-1.4,+1.3,68.5,-0.8,+0.8,159.5,-2.4,+2.5,
-,2.0,3.0,2.46,2.11,2.85,0.0003,-0.0002,+0.0002,65.3,-113.0,+78.1,165.2,-32.6,+203.2,55.6,-30.0,+73.1,28.9,-23.8,+15.9,15.2,-2.6,+5.1,14.8,-3.0,+6.3,17.6,-3.7,+8.6,
bar,2.0,3.0,2.46,2.11,2.85,0.3868,-0.0116,+0.0101,4.0,-1.3,+1.5,0.9,-0.5,+0.5,-111.0,-4.0,+3.9,75.5,-0.5,+0.4,80.4,-1.1,+1.3,21.5,-0.4,+0.8,104.2,-2.7,+2.8,
-,3.0,4.0,3.51,3.16,3.87,0.0046,-0.0024,+0.0035,192.9,-619.2,+693.0,509.5,-413.8,+1097.4,231.0,-608.3,+1459.6,35.3,-18.9,+21.6,21.6,-5.6,+14.3,13.6,-2.6,+4.7,14.6,-2.6,+5.9,
-,3.0,4.0,3.51,3.16,3.87,0.0042,-0.0083,+0.0033,190.6,-553.6,+642.0,-519.4,-1010.7,+322.8,312.9,-346.9,+442.4,34.7,-20.4,+13.8,14.7,-3.6,+12.7,12.6,-1.2,+1.7,11.4,-1.0,+1.5,
disc,3.0,4.0,3.51,3.16,3.87,0.9916,-0.0058,+0.011,-0.8,-3.4,+5.3,-3.9,-5.5,+3.6,-548.1,-5.0,+5.4,73.9,-1.4,+2.0,91.4,-1.1,+1.6,67.9,-1.1,+1.0,257.0,-10.8,+3.1,
-,4.0,5.0,4.46,4.13,4.80,0.0904,-0.0038,+0.0063,15.9,-3.5,+5.0,-2.1,-12.5,+8.8,-840.1,-8.8,+9.2,38.0,-7.1,+8.7,38.1,-24.3,+11.8,29.1,-6.1,+9.1,71.4,-18.4,+16.1,
disc,4.0,5.0,4.46,4.13,4.80,0.899,-0.0124,+0.0065,-0.9,-1.2,+1.2,-7.0,-1.9,+1.6,-775.2,-6.1,+5.3,3.1,-1.6,+1.4,71.2,-1.2,+1.8,86.6,-0.8,+0.7,247.5,-1.8,+2.2,
-,4.0,5.0,4.46,4.13,4.80,0.0096,-0.0052,+0.006,-25.0,-321.9,+206.6,-359.1,-128.9,+103.6,-49.6,-72.6,+74.5,63.4,-14.0,+7.6,26.3,-4.6,+9.7,13.0,-1.1,+1.5,10.4,-0.3,+0.3,
