l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
 18.824357  -0.874893  6.4480  0.3308 -6.9008  0.0736 -0.7906  0.0975   0.0975  140.3111    0.0727  1.0000  0.0000 -99.0000 -99.0000 -99.0000 491548.0000
  8.291763  -1.149669  6.7143  0.4732 -1.9095  0.0587  0.8764  0.0668   0.0668  -47.4213    0.0765  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              717982.000000
-13.274141   1.496820  6.9895  0.4407 -4.1837  0.0504 -0.2835  0.0471   0.0471  -37.8535    0.0445  1.0000  0.0000 -99.0000 -99.0000 -99.0000 573563.0000
-22.446656   0.245335 11.0732  0.9243 -5.4985  0.0455 -0.0023  0.0696   0.0696 -117.3076    0.0854  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              270263.000000
 28.025837  -1.069036  6.2106  0.4992 -5.3469  0.0786  0.9939  0.0815   0.0815  103.7487    0.0689  1.0000  0.0000 -99.0000 -99.0000 -99.0000 581590.0000
 14.564693   1.590681  5.7087  0.3979 -7.1195  0.0738 -1.1250  0.0628   0.0628   51.5649    0.0868  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              711949.000000
 18.935628   1.658993  7.4197  0.6138 -7.0702  0.0637 -0.1991  0.0743   0.0743  116.8466    0.0807  1.0000  0.0000 -99.0000 -99.0000 -99.0000 760851.0000
  3.592248  -1.238556 10.1926  0.8149 -7.1519  0.0378 -0.6593  0.0674   0.0674  -25.2722    0.0726  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              746129.000000
  5.050428  -1.540810  8.7221  0.6837 -7.0868  0.0288  1.0240  0.0468   0.0468  123.0226    0.0820  1.0000  0.0000 -99.0000 -99.0000 -99.0000 542380.0000
  4.106383  -1.393674  6.7268  0.3887 -6.2431  0.0768 -0.7926  0.0798   0.0798   18.0816    0.0742  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              442709.000000
 14.215121   1.209631  5.7436  0.4525 -8.5406  0.0714  1.4475  0.0772   0.0772   44.9829    0.0729  1.0000  0.0000 -99.0000 -99.0000 -99.0000 316359.0000
 -4.339514  -0.070353  7.6671  0.5637 -7.7000  0.0819 -0.7060  0.0780   0.0780  -75.8097    0.0657  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              785271.000000
  4.626949  -1.166883  8.4503  0.6154 -9.0033  0.0846 -4.0085  0.0587   0.0587  -12.9527    0.0556  1.0000  0.0000 -99.0000 -99.0000 -99.0000 938590.0000
-21.856376   1.192976  6.0995  0.4318 -5.9136  0.0713  0.6849  0.0449   0.0449  -58.2524    0.0549  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                               21367.000000
 -4.307338  -1.193374  4.2337  0.1664 -4.9444  0.0726  0.7284  0.0676   0.0676 -151.8108    0.0278  1.0000  0.0000 -99.0000 -99.0000 -99.0000 733994.0000
  4.104882   2.592638  6.7644  0.4117 -2.2569  0.0829 -2.9440  0.0742   0.0742   -9.4758    0.0871  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              686149.000000
 -8.648835   1.199405  6.8441  0.4786 -6.9078  0.0720 -0.2367  0.0696   0.0696 -116.5891    0.0683  1.0000  0.0000 -99.0000 -99.0000 -99.0000 413020.0000
-16.654199   0.068309  6.8837  0.5679 -2.6478  0.0842 -0.3634  0.0801   0.0801  -53.3078    0.0415  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                                3494.000000
  5.283339  -1.554827  6.5801  0.4249 -1.9100  0.0689 -1.7404  0.0604   0.0604  125.8356    0.0808  1.0000  0.0000 -99.0000 -99.0000 -99.0000 66011.0000
 -1.006739   0.923041  7.8710  0.5439 -4.4922  0.0478  0.0563  0.0748   0.0748  -83.9149    0.0677  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              630388.000000
  9.590897  -1.119221  6.7749  0.4802 -2.1623  0.0740  0.3059  0.0692   0.0692  -20.9729    0.1015  1.0000  0.0000 -99.0000 -99.0000 -99.0000 316407.0000
 19.973706   0.708131  9.0424  0.7126 -5.8296  0.0477 -0.0953  0.0709   0.0709   73.0059    0.0530  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              229263.000000
 13.845120   1.845783  5.5912  0.3534 -0.6825  0.0707 -0.7103  0.0694   0.0694    1.3073    0.1071  1.0000  0.0000 -99.0000 -99.0000 -99.0000 797055.0000
 33.792407  -3.360045  5.1933  0.3200 -5.0339  0.0602 -0.4805  0.0603   0.0603   54.8001    0.0998  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              334819.000000
-27.294025  -1.251915  7.0877  0.4961 -5.1813  0.0764  0.0448  0.0627   0.0627  -43.9912    0.0773  1.0000  0.0000 -99.0000 -99.0000 -99.0000 918615.0000
 19.664991  -0.274258  6.6884  0.4866 -4.5467  0.0503 -0.9484  0.0539   0.0539  152.1597    0.0625  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              948715.000000
