comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.70,0.35,0.90,0.4664,-0.0918,+0.0815,10.7,-4.6,+4.7,-2.1,-3.4,+3.3,-112.9,-8.4,+9.4,32.3,-6.8,+6.5,47.5,-3.4,+3.7,29.0,-3.1,+3.5,44.1,-4.5,+5.7,
bar,0.0,1.0,0.70,0.35,0.90,0.4237,-0.0849,+0.1307,7.1,-6.2,+5.0,-3.7,-2.3,+3.2,-54.8,-12.6,+19.6,19.5,-5.5,+6.3,33.0,-4.8,+5.1,12.5,-1.7,+2.7,29.4,-11.4,+6.4,
knot,0.0,1.0,0.70,0.35,0.90,0.0849,-0.1857,+0.0644,0.3,-4.3,+4.0,-0.8,-2.8,+3.5,-1.4,-4.6,+19.2,25.7,-43.4,+14.9,16.8,-5.8,+11.0,11.0,-0.8,+3.1,19.1,-7.4,+10.9,
disc,1.0,2.0,1.51,1.17,1.88,0.6682,-0.0224,+0.0231,3.4,-1.2,+1.4,0.1,-1.4,+1.3,-221.5,-3.7,+4.3,31.5,-3.6,+3.6,53.5,-1.1,+1.2,39.1,-1.0,+1.1,72.4,-2.3,+2.4,
-,1.0,2.0,1.51,1.17,1.88,0.0119,-0.0044,+0.0039,-103.2,-17.4,+11.8,55.2,-23.3,+28.3,-90.7,-8.4,+7.6,64.9,-14.2,+14.2,15.2,-3.0,+5.0,13.0,-1.7,+2.8,16.5,-3.9,+6.7,
bar,1.0,2.0,1.51,1.17,1.88,0.3194,-0.0248,+0.0227,2.2,-0.9,+1.1,-0.2,-1.1,+1.0,-65.5,-4.7,+5.2,56.0,-1.1,+1.1,54.3,-1.8,+2.1,11.2,-0.7,+1.0,58.3,-2.6,+2.8,
disc,2.0,3.0,2.51,2.12,2.86,0.3491,-0.0391,+0.0416,6.4,-4.2,+3.6,-4.6,-2.9,+3.0,-459.9,-5.8,+6.1,76.6,-7.3,+9.5,61.8,-3.1,+3.0,64.4,-2.2,+2.6,91.0,-4.7,+4.1,
-,2.0,3.0,2.51,2.12,2.86,0.0011,-0.0008,+0.0007,128.5,-165.8,+291.1,74.0,-202.8,+316.6,76.7,-148.2,+181.3,42.4,-21.2,+20.2,15.3,-3.3,+8.1,13.6,-2.3,+5.8,13.3,-2.2,+5.1,
bar,2.0,3.0,2.51,2.12,2.86,0.6498,-0.0415,+0.0392,-11.1,-2.4,+2.1,-2.1,-0.9,+0.8,-294.1,-9.2,+10.1,60.2,-1.0,+0.9,71.9,-1.3,+1.4,30.7,-1.0,+1.0,123.0,-4.0,+4.8,
-,3.0,4.0,3.50,3.16,3.88,0.0057,-0.0036,+0.0034,34.4,-377.5,+346.8,423.1,-161.3,+193.5,523.6,-88.5,+82.4,23.6,-16.2,+12.7,19.1,-3.8,+7.9,11.9,-0.8,+1.1,14.6,-1.4,+2.5,
disc,3.0,4.0,3.50,3.16,3.88,0.9914,-0.0042,+0.0042,-4.3,-2.3,+2.2,-5.2,-1.2,+1.2,-607.8,-4.3,+4.1,54.8,-2.2,+2.1,74.2,-1.2,+1.7,65.1,-0.7,+0.7,203.4,-1.2,+1.2,
-,3.0,4.0,3.50,3.16,3.88,0.0026,-0.002,+0.0018,-118.9,-45.0,+51.4,-52.8,-36.5,+74.8,63.2,-84.2,+45.7,34.2,-21.4,+17.9,28.6,-5.2,+14.9,12.6,-0.8,+0.9,14.2,-1.6,+3.3,
