l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index  
 13.929694  -9.452735  6.5513  0.4801 -9.3553  0.0698 -2.7041  0.0753   0.0753   33.0616    0.0482  1.0000  0.0000 -99.0000 -99.0000 -99.0000 600779.0000
-25.526179   1.066731  5.3821  0.3158 -9.8575  0.0741 -0.2611  0.0918   0.0918  -31.5633    0.0561  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              589437.000000
  4.787199  -1.716205  7.2175  0.4662 -3.1311  0.0664 -3.6839  0.0692   0.0692 -112.4647    0.0450  1.0000  0.0000 -99.0000 -99.0000 -99.0000 655536.0000
-26.083918   2.014652  5.4995  0.4196 -8.4747  0.0645  1.9460  0.0550   0.0550   -0.9414    0.0429  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              425567.000000
  9.345857   1.787509  5.6943  0.3725 -0.5499  0.0309  0.4984  0.0820   0.0820   45.0725    0.0670  1.0000  0.0000 -99.0000 -99.0000 -99.0000 940523.0000
-39.208684   2.570228  4.8700  0.3354 -4.4983  0.0663  0.9007  0.0663   0.0663  -12.0245    0.0496  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              114156.000000
 -4.473614  -1.140579  6.8608  0.5419 -4.4981  0.0631  2.6726  0.0888   0.0888 -173.6037    0.0669  1.0000  0.0000 -99.0000 -99.0000 -99.0000 244831.0000
  2.942005  -9.328610  5.0809  0.3248 -9.4782  0.0873 -2.8974  0.0803   0.0803   44.5306    0.0848  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              646669.000000
  0.216715  -3.329174  5.5688  0.3134 -8.6211  0.0745 -0.9765  0.0617   0.0617  -59.3971    0.0876  1.0000  0.0000 -99.0000 -99.0000 -99.0000 423331.0000
 -1.717087  -1.384410  8.7248  0.7385 -4.8873  0.0646 -1.9979  0.0813   0.0813  -42.1665    0.0708  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              564041.000000
  0.287907   4.148087  7.5439  0.5439 -5.0572  0.0847 -0.3647  0.0735   0.0735   52.6902    0.0813  1.0000  0.0000 -99.0000 -99.0000 -99.0000 257115.0000
  2.307200   2.439229  6.7106  0.6292 -4.2514  0.0718 -1.8121  0.0666   0.0666 -156.4055    0.0988  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                               51523.000000
  0.586619  -4.163049  6.4797  0.4455  0.3418  0.0798 -2.5060  0.0714   0.0714 -129.5847    0.0549  1.0000  0.0000 -99.0000 -99.0000 -99.0000 859435.0000
 35.047500  -0.140885  5.8423  0.3180 -7.3705  0.0769  0.4170  0.0613   0.0613   70.6828    0.0646  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              285578.000000
 -3.998947  -1.626102  9.7550  0.7983 -7.8004  0.0840  0.0491  0.0648   0.0648  -52.3566    0.0530  1.0000  0.0000 -99.0000 -99.0000 -99.0000 524819.0000
-32.280345   1.724281  4.7029  0.2396 -7.1419  0.0743 -0.8132  0.0360   0.0360  -68.4825    0.0490  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              789779.000000
  5.048501  -8.672899  5.2131  0.3052 -8.3531  0.0566 -4.9878  0.0650   0.0650   48.9133    0.0689  1.0000  0.0000 -99.0000 -99.0000 -99.0000 450962.0000
-14.379190   2.041331  5.5014  0.4547 -3.5747  0.0683 -0.0971  0.0939   0.0939 -144.0135    0.0632  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              255506.000000
  9.761269   1.193131  5.1376  0.3561 -4.6348  0.0740  1.1678  0.0837   0.0837   33.6091    0.0986  1.0000  0.0000 -99.0000 -99.0000 -99.0000 61254.0000
-35.179668  -1.153610  5.2842  0.2707 -7.6215  0.0396  0.0412  0.0597   0.0597  -27.6172    0.0922  0.0000  0.0000 -99.0000 -99.0000 -99.0000                                                              674330.000000
-13.717244  -6.411724  5.9689  0.4325 -4.9475  0.0944 -1.8416  0.0859   0.0859  -78.9668    0.0608  1.0000  0.0000 -99.0000 -99.0000 -99.0000 417108.0000
