comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.65,0.31,0.89,0.3775,-0.0261,+0.0298,-7.2,-5.0,+5.3,-6.4,-4.0,+4.7,-118.9,-5.1,+5.5,35.7,-23.8,+21.2,67.2,-4.3,+4.8,66.5,-4.5,+4.7,38.7,-4.1,+4.3,
knot,0.0,1.0,0.65,0.31,0.89,0.2406,-0.0228,+0.0208,0.8,-1.9,+1.6,-0.8,-1.4,+1.3,-3.3,-1.9,+2.5,27.0,-3.4,+3.6,34.2,-2.4,+3.2,10.6,-0.4,+0.8,19.9,-2.4,+3.3,
bar,0.0,1.0,0.65,0.31,0.89,0.3823,-0.0286,+0.0291,0.6,-1.9,+1.1,0.5,-2.0,+1.4,-0.6,-0.8,+1.9,48.4,-4.9,+4.7,100.5,-4.7,+5.4,66.6,-4.2,+4.8,53.6,-3.5,+4.3,
-,1.0,2.0,1.52,1.16,1.87,0.0308,-0.0168,+0.0162,-84.4,-36.1,+29.9,-111.9,-31.9,+16.5,-16.7,-13.4,+14.7,31.4,-23.9,+12.1,56.1,-38.3,+21.8,14.9,-3.7,+7.4,21.5,-8.9,+15.9,
disc,1.0,2.0,1.52,1.16,1.87,0.5313,-0.0299,+0.029,-12.1,-6.3,+6.5,6.7,-4.5,+3.9,-130.2,-6.8,+6.7,77.3,-7.0,+6.9,123.6,-4.4,+4.9,102.9,-3.6,+3.8,120.4,-4.6,+4.8,
bar,1.0,2.0,1.52,1.16,1.87,0.4368,-0.0284,+0.0277,2.8,-4.1,+4.5,0.8,-1.2,+1.2,-37.5,-5.2,+5.1,59.1,-1.6,+1.7,66.0,-4.9,+5.4,16.8,-1.4,+1.5,75.1,-3.7,+3.8,
disc,2.0,3.0,2.48,2.12,2.86,0.5939,-0.018,+0.0197,-19.1,-4.5,+4.3,-7.3,-2.4,+2.5,-266.2,-5.5,+5.7,81.0,-1.6,+1.6,157.8,-3.0,+3.1,111.0,-2.0,+2.4,183.8,-3.6,+3.6,
-,2.0,3.0,2.48,2.12,2.86,0.0011,-0.0011,+0.0007,12.7,-91.6,+111.5,72.1,-46.4,+70.2,-47.3,-63.2,+59.2,61.9,-16.6,+20.6,16.5,-3.9,+8.7,17.0,-4.1,+9.2,12.6,-1.6,+3.6,
bar,2.0,3.0,2.48,2.12,2.86,0.405,-0.0197,+0.0178,6.3,-2.1,+2.4,1.1,-1.0,+0.9,-76.6,-4.7,+5.3,73.0,-0.6,+0.6,111.7,-3.2,+3.8,24.5,-1.7,+1.6,111.0,-3.2,+4.1,
-,3.0,4.0,3.47,3.13,3.86,0.0042,-0.0015,+0.0016,105.8,-99.5,+120.0,387.8,-22.2,+36.3,-279.8,-14.1,+18.3,43.2,-15.4,+17.0,13.6,-2.3,+5.5,20.6,-6.6,+11.6,15.4,-2.7,+4.9,
disc,3.0,4.0,3.47,3.13,3.86,0.4161,-0.0256,+0.0278,-2.6,-6.8,+7.8,-14.8,-4.0,+4.4,-438.4,-10.6,+10.8,82.3,-1.9,+2.0,180.5,-4.5,+5.0,113.2,-2.7,+3.2,241.1,-6.4,+6.2,
bar,3.0,4.0,3.47,3.13,3.86,0.5795,-0.0277,+0.0257,-9.1,-4.2,+3.3,4.2,-1.9,+1.7,-385.3,-9.1,+8.6,76.4,-1.4,+1.4,100.5,-3.1,+3.7,43.2,-1.3,+1.7,262.9,-4.8,+5.0,
